AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FKBP4BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
CDC40	0	0	0	0	0	0	0	0	0.156766789848683	0	10.4548101567864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198375278131355	0	0	0	0	0	0	0	0.0338971006841351	0.239002020990936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297248909991249	0	0	0	0	0	0	0	0	0	0	0.0664394125173524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084447430968947	0	0	0	0	0	0	0	0	0	0	0.163836883468212	0	0	0	0.0999718277777646	0	0.0818421761968817	0.0423866494737259	0.890489826526037	0	0	0	0	0	0	0	0.42816619442945	0
CPSF6	0	0	0	0	0	0	0	0	0.125314158892856	0	0	2.29534545289845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209691587610807	0	0	0.0335077285037528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0730183768163046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30354766647386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0	0	0	0	0	0	0	0	0	0	0	0	7.6766367265155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62306812888745	0	0.0653602209258763	0.107735904725998	0	0	0	0.88365189324112	0	0	0	0	0	0	0.188261745289225	0	0	0.0962868322475849	0.211169297302531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38933341945338	0	0	0	0	0	0.804398430401138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374982060610017	0	0	0	0	0.0999718277777646	0	0	0	0	0	0	0	0	0	0	0	0	0.0413277807182255
DDX21	0.356997461778807	0.665881274614771	0	0	0	0	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.380283975002818	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432513250182936	0	0	0	0	0	0.425241248346684	0.353190403971454	0	0.271612004127834	0	0	0	0	0	0.73738058571633	0	0	0	0.424678157587806	0	0	0	0	0	0	0	0	0	0	0	0	0.226656623570966	0	0	0	0	0.628034337956898	0	0	0	0	0	0	0	0	0	0	0.0463596031197396	0	0.531250983902938	0	0	0	0	0	0	0.325494746913615	0	0	0
DDX24	-0.376523645495583	0	0	0	0	0	0	-0.0601229181154695	0	0	0	0	0	0	35.7692846095422	0	0	0	0	0	0	0	-0.599214897552367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0335077285037528	0	0	0	0	0	0	0	0	0.151892776130995	0	0	-0.200999911418994	0	-0.146529230203987	0	0	0	0	0	-0.0909255053119696	-0.235471975652585	0	-1.0255208552275	0	-0.489976272508269	0	0	0	0	1.10787306009572	0	-0.00706998674424508	0	0	0	0	0.0306823131926967	0	0	0	-0.148236787225448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106654205049238	0	0	0
DDX3X	0	0	0	0	0	0	0	0	-0.336359035041713	0	0	0	0	0	0	25.6522602718889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.691284641869945	0	0	0	0	0	0	0	0	0	0	0	0	-0.205932390777855	0.143115434438336	0	0	0	0	0	0.144149379561707	0	0	0	-0.0345170589173974	0	0	0	0	0	0	0	0.0155790181299727	0	0	0	0	0	0	0.733305694136807	0	0	0.0477848180644171	0	0	0	0	-0.084447430968947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0999718277777646	-0.108976562985609	0	0	0	0	0	0	0	0	0	0	-0.0607141685668657	0
DDX42	0	0	0	0	0	0	0	0	0	0	0.00731016170287087	0	0	0	0	0	3.14359649694686	0	0	0	0	0	0	0	0	0	0	0	0.401261096024945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306823131926967	0	0	0	0	0	0	0	0	0.489285762997373	0	0	0	0	0	0	0	0	0.329222626996652	0	0	0	0	0	0.0999718277777646	0	0	0	0	0	0	0.52036428082087	0	0	0	0	0	0
DDX52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188969081586451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214501840435993	0	0	0	0	0	0	0	0	0	0	0	0.138886157926732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	0	0	0	0	0.141341490197439	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0269844352758	0	0	0	0	0	0	0	0.054178686502274	0	0	0	0	0	0	0	0	0.0879267241634218	0	0	0	0.105007796170217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256690847807397	0	0	0	0	0	0	0	0	0	0	0	0.297148876295688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.176779846839465	0	0	0	0	0	0	0.500870461382603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5001493483534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63108155318281	0	0	0	0	0	0.247626189536081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40822188292464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985696545479421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
