AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FKBP4BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
FUS	0.100801299822407	0	0	0	0	0	0	0	0	0	0.00731016170287087	0	1.20102269543651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07492406074293	0	0	0	0	0	0	0.311696586676492	0	0	0.0962868322475849	0.211169297302531	0	0	0	0	0.0297248909991249	0	0	0	0	0	0	0.501608103514884	0	0	0	0	0	0	0	0	0	0	0	0.0109160230751417	0	0	0	0	0	0.45269381169252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48160803602329	0	0.429904820300818	0.163836883468212	0	0	0	0.681837945500118	0.10715000010415	0	0	0	0	0	0	0	0	0	0	0.0607141685668657	0.117751219454193
FXR2	0	0	0	0	0	0	0	0	1.70198657125571	0	0.00731016170287087	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149805170127856	0	0	0	0	0	0	0	0	0	1.24824248788733	0	0	18.926184167778	0.1220609196965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603015414216067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.05620230994009	0	0.0217311169655244	0	0	0	0	0	0	0.0477848180644171	0	0	0	0	-0.135783991254116	0	0	0.553783215661811	0	0	0	0	0	0	0	0	0	1.30354766647386	0	-0.0589984349823634	-0.108976562985609	0.277384257171147	0	0	0	0	0	0	0	0	0.216951031519762	0.5926293045805	0
G3BP1	0	0	0	0	0	0	0	0	0.0344692154504229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.193453241233996	0	0	0	0	0	0	0	0	0	0	0	0	0.365428597299083	22.5344253245782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25664104157337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220818841469451	0	0	0	0	0	0	0	0	0.148236787225448	0	0	0	-0.0249160466901793	-0.126069783458377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0589984349823634	0	0	0	0	0	0	0	0	0	0	0	0.0681229945516922	0
GEMIN5	0.00654353973799552	0.291852266001044	0	0	0.141341490197439	0	0	0	0	0	0	0	0	0.205936373778301	0	1.6407648619908	0	0	0.0761820287228487	0	0	0	0	0	0	0	0.054178686502274	0	0	0	0.205936373778301	0	0	0	0	0.0879267241634218	0	0	0	7.84183768799105	0	0	0	0.188261745289225	0	0	0	0	0	0	0	0	0	0	0.0524826039635939	0	0	0	0	0	0	0	0	0	0.0389558862421372	0.261190235841509	0	0	0	0.272711444340199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230663478723883	0	0	0	0	0	0	0	0	0	0	0	0	0.169950502377249	0	0	0	0	0	0	0.00335657996896291	0	0	0
GPKOW	0	0	0	0	0	0	0	0	0.156766789848683	1.36781580011258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104923251601668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8413367358018	0	0	0	0	0	0	0	0	0	0	0	0.750121532349002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515631154313284	0.885628385069719	0	0.148236787225448	0.0971860193783472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999718277777646	0.0445564604197523	0	0	0	0	0	0	0	0	0	0	0	0
GRSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00693450444905338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226205927018073	0	3.28438840886821	0	0.355722857473732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210158083027817	0	0	0	0	0	0	0.0354209756467041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551075492003348	0	0	0	0	0	0
GRWD1	-0.464502506125976	0	0	0	0	0	0	0	0.403374232758235	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.51804488327162	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.1687378342867	0	0	0	0	0	0	0	0	0	0	0	-0.346831523823331	0	0	0	0	0	-0.494371068179677	-0.215465233122761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402874725047552	-0.607383182319582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0999718277777646	-0.0285123364480276	2.79471101183046	0	0	0	0	0	0	0	0	1.51619362821291	0.440331846113173	0
GTF2F1	0	0	0	0	0	0	0	0	0	0	0	0	0.279674137162981	0	0	0.00829886378734476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334636640565123	0	0	0.165253678536905	0	0	0	4.47134710966578	0	0	0	0.211169297302531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210158083027817	0	0	0	0	0	0	2.18700062000631	0	0	0	0	0	0.0160847312940308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429904820300818	0	0	0	0	0.0854085910599299	0	0	0	0	0	0	0.0172198401695392	0	0	0	0	0	0
HLTF	0	0	0	0	0	0	0	0	0.316703792809265	0	0	0	0	0	0	0	0	0	0	0	0.143925821597125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62344221041817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.640450531218732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110199978332202	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521360066049031	0
HNRNPK	0	0	0	0	0	0.178631821236714	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56908123279036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.46949891790883	0	0	0	0	0	0.247626189536081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29649099544018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030896558950318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0589984349823634	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	0	0	0	0	0	0	0	0	0	0	0	0	0.279674137162981	0	0	0	0	0.188969081586451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334636640565123	0	0	0	0	0	0	0	0	0	4.79926300786628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160847312940308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0854085910599299	0	0	0	0	0	0	0	0	0	0	0	0	0.117751219454193
HNRNPUL1	0.158635691996795	0	0	0	0	0	0	0	0	0	0	0	0.279674137162981	0	0	0	0	0	0	0	0	0	0.838712416289347	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334636640565123	0	0	0	0	0	0	0.355722857473732	0	0	0	2.93889039709627	0	0	0	0	0	0	0.208706233849097	0	0	0	0	0	0	0.944963038177268	0	0.713213338540627	0	0	0	0	0	0	0	0.0354209756467041	0	0.182476399425677	0	0	0	0.0306823131926967	0	0	0	0	0.0824821939019913	0	0	0	0.0985696545479421	0	0	0	0	0	0	0	0	0	0.429904820300818	0	0	0	0	0.0999718277777646	0	0	0.424690487429929	0	0	0	0	0	0	0.196685483816737	0	0	0
IGF2BP1	0	0	0	0	0	0	0	-0.0421811475257426	0	-0.262561095491129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.299279315079793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3916203271011	0.433050410481762	2.11177758993937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00706998674424508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197687766152112	0	0	0	0.424397278784856	0
IGF2BP2	0	0	0	0	0	0	0	-0.0326685951991633	0	-0.0272056149089823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545944050699499	11.74194635153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0153985517377929	0	0	0	0	0	0	0	0	0	0	0	0	-0.561012335285568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2568289406305	0.0473186537713156	6.45903595985478	0	0.205932390777855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217311169655244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26015090829708	0	0	0	0.699233625825959	0
ILF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546708771885408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449162632720282	0	0	0	0	0	0.247626189536081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238825564215888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226656623570966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHSRP	0	0	0	0	0	0	0	0	0.216583375355233	-0.3018653190293	0	0	0	0	0	-0.053876820741872	0	0	0	0	0	-0.00693450444905338	0	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335077285037528	0	0	0	0	0	0	0	0	0	0	0	35.6399020854695	-0.0152816557639239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.10787306009572	-0.153977815934356	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88361180009105	-0.135783991254116	0	0	0	0	0	0	0	0	0	0	0.141448984719053	0	0	0	0.0999718277777646	0.474847775598166	-0.0392160326088649	0	0	0	0	-0.52036428082087	0	0	0	0	0.0607141685668657	0
LARP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0895139625985594	0	0	0.412757918746838	0	0	0	0	0	0	0	0.405517000037697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02739339897963	15.0979961017938	0	0.122337075252922	0	0	0	0	0	0	0	0	0	5.91187210269543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03138345446674	0	0	0	0	0	0	0	0	0	0	1.81869445995026	0	0	0	0	0	0	0	0	0	-0.10715000010415	0	0	0	0	0	0	0.26015090829708	0	0	0	0	0
LARP7	6.00958105574418	0.279748650135536	0	0	0	0	0	0	0	0	0	0	0	0.205936373778301	0	0	0	0	0	0	0	0	4.9863335529718	0	0	0	0	0	0	0	0.205936373778301	0	0	0	0	0	0	0	0	0.0378143804656029	0	0	0	0	0	0	0	0.211169297302531	0	0	0	0	0.573532860270379	0	6.83809711308767	0	0	0	0	0	4.90311488416351	6.47759517613043	0	4.97800813843495	0	0.232694285772297	0	0	0	0.890708528592454	0	0	0	2.16394706946137	0	0	0	0	0	0	0	0	0.373634051287341	0	0	0	1.76679552570358	0	0	0	0	0.70949515783172	1.18001928641055	0	0	0	0	0	0	0	0	0	0	0	2.50785849571093	0	0	0	0	0	0	4.97166969314977	0	0	0
LIN28B	0	0	0	-0.103932146594447	0	0	0	-0.109845899293255	0	-0.262561095491129	0	0	0	0	0	0	0	0	0	0	0	0	-0.16995477887766	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	0.787236348314345	0.1201622296472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111769053169307	0	31.7954100401134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.707640376727388	0	0.0217311169655244	0	0	0	0	0	0	0	0	0	0	-0.88361180009105	-0.0985696545479421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0999718277777646	-0.108976562985609	0	0	0	0	0	-0.0573960446031191	0	0	0	0	0.498889314670445	0
LSM11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.515070042334	0	0	0	0	0	0	0	0	0	0.719167932430394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285460291509779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451339504233236	0	0	0	0	0	0
METAP2	0	0	0	0	0	0	0	0	-0.125314158892856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0269610892605256	0.0637290669844711	0	0	0	18.6786356256228	0	0	0	0	0	0	0	0.489976272508269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477848180644171	0	0	0	0	0.0254777184969001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10715000010415	0	0	0	0	0	0	0	0	0	0	0	0
MTPAP	0	0	0	0	0	0	0	0	0.125314158892856	0	0.00731016170287087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227982441121303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10014601361751	0	0	0	0	0	1.83886778567033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999718277777646	0	0	0.475362326634641	0.371743996231698	0	0	0	0	0	0	0.00449356286198137	0	0
NCBP2	0	0	0	0	0	0	0	0	0	0.0272056149089823	0	0	0.0821482207791541	0	0	0.671622475519495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830479336892516	0	0	0	0	0	0	0.17898461393113	0	0	0	0.211169297302531	0	0	0	0	0	0	0	0	0	0	0	8.53877902269375	0	0	0	0	0	0	0	0	0	0	0	0.637041404801667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160564277108774	0	0	0.374982060610017	0	0	0	0	0.0999718277777646	0	0	0	0	0	0	0.104126804032289	0	0	0	0	0	0
NIP7	6.40480067789144	0.828776040696229	0	0	0	0	0	0	0	0	0	0	0	0.205936373778301	0	0	0	0	0	0	0	0	4.65780279111059	0	0	0	0	0	0	0	0.205936373778301	0	0	0	0	0	0	0	0	0.0141245671094171	0	0	0	0	0	0	0	0	0	0	0	0	0.436326195632358	0	4.76927535673927	0	0	0	0	0	8.35855735365909	5.09733138723665	0	5.28334757818953	0	0.164321353580776	0	0	0	0.890708528592454	0	0	0	2.85923649059028	0	0	0	0	0	0	0	0	0	0	0	0	2.5772728698512	0	0	0	0	0.70949515783172	1.71528366741639	0	0	0	0	0	0	0	0	0	0	0	0.646722586695877	0	0	0	0	0	0	3.64753173215799	0	0	0
NIPBL	6.54972737888021	0.168966531522809	0	0	0	0	0	0.0195824162679072	0	0	0	0	0	0.183703755878329	0	0	0	0	0	0	0	0	5.61107825859057	0	0	0	0	0	0	0	0.183703755878329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401895937813268	0	0	0	0	0.263718893247467	0	5.978702014478	0	0	0	0	0	4.90311488416351	9.75961978171643	0	7.83647721209819	0	0.0708307322084806	0	0	0	0.854607333479983	0	0	0	3.21641042554255	0	0	0	0	0	0	0	0	0.181510384140218	0	0	0	2.61929220620821	0	0	0	0	0.654836146253874	0.794046314971915	0	0	0	0	0	0	0	0	0	0	0	2.08321273765077	0	0	0	0	0	0	6.77819331758755	0	0	0
NKRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78697767124177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOLC1	7.20035855569083	0.600417148956809	0	0.103932146594447	0	0	0	0.127254913020942	-0.0203552673624999	0	0	0	0	0	0	0	0	0	0	0	0	0	7.89018438773895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246732773350523	0	0	0	0	0	0	4.40334167973249	0	0	0	0	0	4.90311488416351	7.04295523381477	0	16.2476333676123	0	0.489976272508269	0	0	0	0.603517843616591	0	0	0	4.17504530017714	0	0	0	0	0	0	0	0	0.00954761139404111	0	0	0	3.02404343106058	0	0	0	0	0.543031865984069	1.31654763921723	0	0	0	0	0	0	0	0	0	0	-0.0392160326088649	1.34930594862219	0	0	0	0	0	0	5.63542761934173	0	0	0
NONO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233416429190456	0	0	0	0.355722857473732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67807604879777	0	0	0	0	0	0	0.0769264917198094	0	0	0	0	0	0.0306823131926967	0	0	0	0	0	0	0	0	0.135783991254116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571413512439725	0	0	0	0	0	0
PABPC4	0	0	0	0	0	0	0.4780734905527	0	0	0	0	0	0	0	0	0.053876820741872	0	0	0.366403414127459	0	0.195485786496186	0	0.0917341099890524	0	0	0	0.376921256162547	0	0	0	0	0	0	0	0	0.314365021915147	0	0	0	0.117244150113599	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48129320768985	0.0349340437792903	0.121084900620452	0	0.431576198516437	0	0	0	0	0	0.404751997913186	0	19.8485917754538	0	0	0	0	0	0	0	0	0.0730183768163046	0	0	0	0	0	0	1.16274026421123	0	0	0	0	0	0	0	0	0	0	2.2988784719475	0	0	0	0	0	0	0	0	-0.0999718277777646	-0.108976562985609	0	0	0	0	0	0	0.197687766152112	0	0.220142725955603	0	0.424397278784856	0
PABPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10014601361751	0.0245791793811934	0	0	0.343856067437864	0	0	0	0	0	0	0	0	0	21.363867134583	0	0	0	0.0391916498691923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0645483768303293	-0.135783991254116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0589984349823634	-0.108976562985609	0	0	0	0	0	0	0	0	0	0	0	0
PCBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00908911639585665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.084431398901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56908123279036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62494249664961	0	0	0	0.0473186537713156	0	0.247626189536081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8329558798221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030896558950318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0589984349823634	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF6	1.04740726143924	0.600417148956809	0	0	0	0	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.966716147728481	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19372908250393	0	0	0	0	0	1.21436305136799	1.06446039351164	0	0.852283841118986	0	0	0	0	0	1.34821073977065	0	0	0	1.26612601842312	0	0	0	0	0	0	0	0	0	0	0	0	0.607383182319582	0	0	0	0	0.550690859712324	0	0	0	0	0	0	0	0	0	0	0	0	0.475362326634641	0	0	0	0	0	0	1.17095476176655	0	0	0
PPIG	-0.65901823644005	0	0	-0.103932146594447	0	0	0	-1.03126142240018	0	-0.242800494104277	0	0	0	0	0.513647074571328	-0.0581502971433013	0	0	0	0	0	0	-0.699063748674921	0	-0.544387542890709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.562835888666275	0	0	0	0	0	0	0	0	0	0	0	-2.07684322971005	0	-0.0288414293057591	0	0	0	0	0	-0.296164192752053	-0.332000715689102	0	-1.13057632756575	0	-0.0842210171748873	0	0	0	0	43.1747989269629	0	-0.455340381937017	-0.472921268342191	0	0	0	0	-0.652377482377815	-1.55272171460109	0	-0.0477848180644171	0	0	0	-0.88361180009105	-0.960856023040216	0	0	0	0	0	-0.0574356041359279	0	0	0	0	-0.28393523166748	0	0	0	-0.0999718277777646	-0.0122710292918911	0	0	0	0	0	-0.571413512439725	0	0	-0.231365293423913	0	-0.348324808382428	0
PRPF4	0	0	0	0	0	0	0	0	-0.156766789848683	0	0	0	2.62833589316013	0	0	0.0581502971433013	0	0	0	0	0	0	0	0	0.116692370502544	0	0	0	0	0.798611028380976	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24583908173245	0	0	0	0	0	0	0	0	-0.200999911418994	0	0	0	0	0	0	0.262021857689283	0	0	0	0	0	0	0	0	0	0	0	19.2430771540299	0	0	0	0	0	0.45269381169252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0631258415603334	0	0	0	0	0	0	0	0	0	0	0	0.52036428082087	0	0	0	0	0	0
PRPF8	-1.31847235148705	0	0	-0.445737832641372	0	0	0	-0.0421811475257426	-2.95147973530303	-0.396815214238598	-0.00731016170287087	0	-0.279674137162981	0	-0.412535653830512	-0.0253677065970888	0	0	0	0	0	0	-0.838712416289347	0	-0.507732333879162	0	0	0	0	0	0	0	0	0	0	0	-0.0114591482518447	-2.3975103442577	-0.1220609196965	-0.117244150113599	-0.0335077285037528	0	-1.49871517618163	-0.355722857473732	0	0	0	0	0	0	0	0	-0.784491193838961	-0.237314795065174	-0.73957324683662	-0.786920025949955	0	0	0	0	-1.04145995698878	-0.94691815788374	0	-1.13057632756575	0	-0.392230678173764	0	0	0	0	-0.629031738858927	-0.637041404801667	11.4900475408258	-0.542523074714811	-0.0817251541610989	0	0	-0.0306823131926967	0	0	0	-0.92016069736242	0	0	0	-0.617595591033035	-0.942389173653146	0	0	0	0	0	-0.41114961356818	0	0	0	0	0	0	-0.266656789382252	0	-0.2249401604499	-0.108976562985609	-2.80198061769156	-0.390190127074495	0	0	0	-0.33161362179353	-0.197687766152112	0	-0.667290877108911	-1.88467679143948	-2.70094691205866	0
PTBP1	2.73181095472569	0.828776040696229	0	0	0	0	0	0.0421811475257426	0	0	0	0	0	0.205936373778301	0	0	0	0	0	0	0	0	5.18884203255899	0	0	0	0	0	0	0	0.205936373778301	0	0	0	0	0	0	0	0	0.0141245671094171	0	0	0	0	0	0	0	0.160357131309602	0	0	0	0	0	0	1.7832523478052	0	0	0	0	0	2.56563064762481	3.0342298224205	0	4.33461004728081	0	0	0	0	0	0.890708528592454	0	0	0	9.75279869072549	0	0	0	0	0	0	0	0	0	0	0	0	1.86721135358957	0	0	0	0	0.187359939619984	0	0	0	0	0	0	0	0	0	0	0	0	0.626096085673846	0	0	0	0	0	0	2.55238167189769	0	0	0
PUM1	0	0	0	0	0	0	0.226490552945372	0	0.403374232758235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209691587610807	0	0	0	0	0	0	0.753360985768354	0	0	0	0	0	0	0	-0.0297248909991249	0	0	0.188622391223994	0	0	0	0	0	0	0	0	0	0.297148876295688	0	0	0	0	0	0	0	0	14.5460104673871	0	0	0	0	0	0	0	0	0	0	0	-0.0729332811947153	0	0	0	0	0	0	0	0	0	0	0	0	0.18612051762792	0	0	0	0	0	0	0	0	0	0.197687766152112	0	0	0.0747384638814752	1.9852076611449	0
PUM2	0	0	0	0	0	0	0	0	0.156766789848683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227625921013561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200999911418994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69674641152875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0589984349823634	0	0	0	0	0	0	0	0	0	0	0	0	0
