AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
CSTF2T	0.167244044508706	0	0	0	0	0	0	0	0	0	0	0	0	13.7890400714202	0	0	0.271022359762656	0	0	0	0	0	0	0	0	0	0.690490822322372	0	0	0	0	0	3.57281738759464	0	0	0	0	0.0677288073241993	0	0	0	0	0	0	0	0	0	0	0	0	0.109442987594659	0	0	0	0	0	0	0	0	0.352473237089039	0	0	0	0	0	0	0.980086236842254	0	0	0	0	0	0	1.13276608340605	0	0	0	0	0	0.283731061955129	0	0	0	0	0	0	0	0	0.23863839255453	0.529523706727509	0	0	0	0	0	0.0362288474683441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130136914235851	0	0	0	0	0	0
DDX21	0.598374526468297	0.694595168278052	0	0	0	0	0	0	0	0	0	0	0	0	0.694595168278052	0	0	0	0	0	0	0	0	0	0	0.643208182282248	0	0	0	0	0	0	0	0.727524389770311	0	0	0	0	0	0	0	0.467770485645473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739049761005837	0	0	0	0	0	0.677405967259422	0.622892326884702	0	0.497511803430532	0	0	0	0	0	0.694595168278052	0	0	0	0.728675243374325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343794439224781	0	0	0	0	0.42469053008282	0	0	0	0	0	0	0	0	0	0.229490034002419	0	0	0.598925579100474	0	0	0	0	0	0	0	0.698416620329144	0	0
DDX24	-0.217823888802427	0	0	0	0	0	0	0	0.186631944901774	0	0	0	0	0	0	57.4964239982625	-0.271022359762656	0	0	0	0	0	0	0	-0.0881113755096051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0610360741380912	0	-0.145382504998372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.598942006129338	0	-0.91829232462571	0	0	0	0	2.47079090421179	0.167471309189153	-0.00581421577836117	0	0	0	0	0.283731061955129	0	0	0	0	0	0	-0.0191498996393058	0	0	-0.319470847142668	0	0	0	0	0	0	0	0	0	-0.0223533415269164	0	0	0	0.0306394695885918	0	1.21962283462223	0	0	0	0	0	-0.00543057982970828	0	0	0	0	1.31130525150958	0
DDX3X	0	0	0	0	0	0	0	0	-0.251123216805627	0	0	0	0	0	0	-0.318205631511962	49.4663880700261	0	0	0.549625530867925	0	0	0	0	0	0	0.690490822322372	0	0	0.726140847528512	0	0	0	0	0	0	0	0	0	0	0	3.67464985515578	0	0	0	0	0	0	0	0	0	0	0	0	-0.0955628175467438	2.5100314508985	0	0	0	0	0	2.30096761695252	0	0	0	-0.0217832444922351	0	1.11061095331863	0	0	0	0	-2.19088174729709	0	-0.221769485804303	0	0	0	0	-0.0585012029032852	0.708086166486223	0	0	3.50181062504138	0	0	-0.0191498996393058	-0.400091646750309	0.428004380284013	-0.489981385545955	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0306394695885918	-0.323985307427288	-0.239184035538593	0	0	0	0	0	0	0.0892626728351712	0	0	0	-0.412722263394198	0
DDX42	0	0	0	0	0	0	0	0	0	0	0.284881642729475	0	0	0	0	0	0	0.430608520591217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.450997715853549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343794439224781	0	0	0	0	0	0	0	0	0.255819826446746	0	0	0	0	0	0	0	0	0	0	0	0	0.174603047520349	0	0	0	0	0	0
DDX52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271022359762656	0	2.21730946978996	0.402933516811196	0	0	0	0	0.0204621674739982	0	0	0	0	0.53259811529504	0	0	0	0	0	0.0361537653702562	0	0	0	0	0	0.438825094808139	0	0	0	0	0	0	0	0.151519652166619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0522223840755127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	0	0	0	0	0.0329359909766251	0	0.18378562045695	0	0	0	0	0	0	0	0	0	0.653246568030519	0	0	24.6682546362877	0	0	0	0	-0.0204621674739982	0	0	0	0	2.00352685812532	0	0	0	0	0	0	0	0	0	0	0	0.761728600136945	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25064472571193	0	0	0	0	0	0	0	0	0	0	0	0.973198618374308	0.170500552069899	0	0	0	0	0	-0.00581421577836117	0	0	0	0	0	0	0	0	0.0312064306728071	0	0	-0.0191498996393058	-0.3632442570963	0	0	0	0	0	0	0	0.806038328533041	0	0	0	0	0	0	0	0	-0.168259267548185	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143732587353915	9.1416351128441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61505153343256	0	0	0	0	0.326246328251462	0	0.0810430764132002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702520091844446	0.836267779014441	0	0	0	-0.00581421577836117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193699201193734	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104491955677133	0	0	0	0	0	0	0	0
DDX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439073344135668	0	0	0	0	8.60669084336533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229911373848179	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0810430764132002	0	0	0	0	0	0.0904536874112968	0	0	0	0	0	1.16260417297326	0	0	0	0	0	0	0	0	0.0382477612420411	0	0	0	0	0	0	0.0312064306728071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGCR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08967659928365	0	0.0204621674739982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0585012029032852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229961021433783	0	0	0	0	0	0	0	0	0	0	0
DHX30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868541117810255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467770485645473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	-0.217823888802427	0	0	6.01470168967382	0	0	0	-3.73876199437913	-1.28000777578401	-2.75238882783537	-0.144873410179312	0	0	-0.0103409283779052	0	-1.10799809522122	-0.222011923451293	0	0	-0.0926089388307266	0	0	0	0	88.7326911904196	0	0	-1.55303478225499	0	0	0	0	0	0	0	0	0	0	0	-0.0743122903096494	0	-0.145382504998372	-0.180146778960637	0	-2.12464722355307	0	0	0	0	0	0	0	0	0	-0.853185348994548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00828805313069071	0	-2.74500867373349	-0.11417257038816	-1.49052295224297	0	0	0	0	-0.0585012029032852	-0.739294051090328	-0.131441482505515	0	0	0	0	-0.488925662240525	-1.50858643924302	0	-0.319470847142668	0	0	0	0	0.324058897441934	-0.541219383700427	0	0	0	-0.908225251786192	-0.0162586933808973	0	0	-0.599712271720723	-2.04953920083795	-3.187854992435	0	0	0	0.104491955677133	0	-0.00543057982970828	0	0	0	0	-2.33901909815722	-0.906544287946925
DKC1	1.84277824310166	0.601592380889757	0	0	0	0	0	0	0	0	0	0	0	0	0.601592380889757	0	0	0	0	0	0	0	0	0	0.230296882437575	9.19086383654354	0	0	0	0	0	0	0	0.556450232228482	0	0	0	0	0	0	0	0.193340602304991	0	0	0	0	0	0	0	0	0	0	0	0	0.0403112096553143	0	2.76392073190236	0	0	0	0	0	2.25033449726933	2.37364671844254	0	5.56353103910727	0	0	0	0	0	0.601592380889757	0	0	0.00581421577836117	2.64498671109369	0	0	0.365730953580295	0	0	0	0.89532308452849	0	0	0	0.0191498996393058	0	0	0.343794439224781	0	0	0	0	0.324058897441934	0	0	0	0	0	0	0	0	0.0306394695885918	0.186499308025872	0	0	0.495536536196175	0	0	0	0	0	0	0.125736880740445	2.57735976317779	0	0
DROSHA	0.699876768011952	0	0	0	0	0	0	0.0697791677394363	0	0	0	0	0	0.593912259398125	0	0	1.47399124102049	0	0	0	0	0	0	0	0	0	12.4086431957512	0	0	0.102158963363382	0	0	0	0	0	0	0	0	0	0	0	1.39702000149991	0	0	0	0	0	0	0	0	0.109442987594659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0165898221509278	0	0.0103581318582261	0	0	0	0	0	0	0	0	0	0.0585012029032852	0.420227996967118	0	0	0.186463457120939	0	0	0.0191498996393058	0	0	0.0437533164767559	0	0	0	0	0	0	0	0	0	0.379327468386757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFTUD2	-0.698004540838053	0	0	-0.454894075975711	0	0	0	-1.95910428041216	-0.704307741390612	0	0	0	0	0	0	-0.0527334171541297	-0.271022359762656	0	0	0	0	0	0	0	-0.0881113755096051	-0.132941066106949	-0.0830534753940446	43.2059697499353	0	0	0	0	0	0	0	0	0	0	0	-0.646361954668454	-0.0110236657002663	0	0	0	-3.7205595957632	0	0	0	0	0	-0.109442987594659	0	0	0	-1.88464427239305	-0.637371703036272	0	0	0	0	0	-0.160990634954404	-0.0558910766715293	0	0	-0.665205102560989	0	-0.91829232462571	0	0	0	0	-1.84945860127816	0	0	0	0	0	0	0	-0.420227996967118	0	-0.022422178244385	-0.0632524190107014	0	0	0	0.620397090596591	0	0	0	-0.299181787576277	0	0	0	-0.322762409629689	0	0	0	-0.379327468386757	0	-0.123392381922477	0	-0.361639136817119	-0.726338817773482	-2.67499453744526	0	0	0	0	0	0	-0.0892626728351712	0	0	-0.0583272007402202	-2.33901909815722	-0.906544287946925
