AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FKBP4BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
CDC40	0.0772750883135062	0	0	0	0	0	0.0296247504113331	0.13618911235684	0.245468643803857	0.0845036390604095	21.9152455639919	0	0	0	0	0	0	0.0569075600411568	0.245981098073396	0	0	0.149870579465471	0	0	0	0.0554133833085548	0.158337922085989	0.443720964857816	0	0	0	0.15534934537893	0	0	0	0.0515458369833615	0	0	0	0.606252771511629	0	0.414077061086428	0	0	0.0817955549125014	0	0	0	0	0	0	0	0	0	0	0	0	0.826615326832754	0.422170303223189	0.127028116894391	0.100561639943004	0	0	0.239926632923633	0.1568628403122	0.119534315577845	0.0921984144457977	0	0.250549924238824	0.707875843743486	0	0.318412116124485	0	0	0	0.266243651871397	0	0	0	0.548727166627236	0.0333396920038372	0	0	0	0	0.225273818301987	0	0	0.0824895777290914	0	0	0	0	0	0	0.357756629911209	0	0	0.0783215726469182	0	0	0.0573499493954982	0	0	0	0.400938919365738	1.27650344343882	0.199047688322522	0.464774747084202	0	0.133271012515181	0	0.493865659141481	0	0.938438392457011	1.96085873820594	0	0.155068622143705	0.151872146364236	0	0	0	0.113842088619975	0	1.05912226118007	0.33098023481066
CPSF6	0.36413812056105	0	0	0	0	0	0	0.00220948223534234	0.0421634257966592	0	0	8.25696832755788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466263709222495	0.196004107648349	0	0	0	0	0	0.226778640177983	0	0	0.0817955549125014	0	0	0.245694156173633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101102203017253	0	0	0.176827765856339	0	0	0.164983262003159	0	0.0223947092757266	0	0.160629660454622	0	0	0	0	0	0	0	0	0	0	0.276427793289172	0	0	0	0	0	0	0	0	0	2.12350315443761	0	0	0	0.0198053698535009	0	0	0	0	0.428342699098782	0	0	0	0	0	0	0	0
CSTF2	0	0	0	0	0	0	0	0	0	0	0	0	1.23894837317685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421385766749848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0.0164686586785359	0	0	0	0	0.658856823186766	0	-0.00831282189206058	-0.03722348442802	-0.0493749886465413	0	0	0	29.3355036665561	0	0	0.700405229138722	0	0	0	0	0	0.0738472367768482	0	0	0	0.865748103990897	0	0	0	0	0.102056260303059	7.10435626113751	0	3.55708199985714	0.0215729198061104	0	0	0	1.34931216028701	0	0	0	0.0407292492932784	0	0	0	1.0290505908327	0	0	0	0	0.271705518966587	0.0102088355685174	0	0	0	0	0.0211908325082958	0	0	0.149606388617957	0.277443814417112	0	0.293236585704708	0	0	0	0	0	2.28352806550948	0	0	0	0	0.178482214100103	0	3.26000345234896	0	0	0.00189682172257575	0	0	1.19612152684256	0	0	0	0	0	0	0.00526708110754058	0	0	0	2.22980695325944	1.1182307349154	0	0	0	0	0	0.0107469875084282	0	0	0	0.342095021159005	0	0	0	0	0.0935192806059453	0	-0.0198053698535009	0	0	0	0	0	0.91256984987609	0	0	0	0	0	0	0.271000382904061
DDX21	0.67371747143822	1.12533595603558	0	0	0	0	0	0	0	0	0	0	0	0	0.592670289030017	0	0	0	0	0	0	0	0	0	0	0.700147040953719	0	0	0	0	0	0	0	0.451841414818038	0	0	0	0	0	0	0	0	0	0.589006158876527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.789230150216972	0	0	0	0	0	0.690042859156504	0.727852394836091	0	0	0.582635735386638	0	0	0	0	0	0.983910684691343	0	0	0	0.710485875566039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463992725341311	0	0	0	0	0.664933760761407	0	0	0	0	0	0	0	0	0	0	0.244977881333942	0	0	0.938438392457011	0	0	0	0	0	0	0	0.743699694832042	0	0	0
DDX24	-0.67371747143822	0	0	-0.116102444183906	0	0.111770857719392	-0.0296247504113331	-0.246037166512843	0.03722348442802	0	0	0	0	0	0	104.929722298215	-0.738417024954166	0	0	-0.207981950093026	0	0	0	0	-0.883824218801663	-0.473341386383045	0	0	0.0833351244717289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0817955549125014	0	0	0.0204955597785818	0	0	0	0	0	0	0	0	0	-0.173642295425134	-0.25980571707555	-0.197382262595096	-0.0525243277198514	0	0	0	0	-0.290662860294443	-0.292883003973715	0	0	-1.45335737502753	0	-1.59695134044986	0.0272809311516312	0	0	0	4.08214527401695	0.488118698702937	-0.327543606724833	-0.113763695999296	-0.126845805757605	0	0	1.37126855320612	0	0	0	-0.138735325322863	0	0	0	0	0	0	0	-0.28153641263258	-0.0248258942881229	0.242777115414545	0	0	0	-0.393687220719302	0	0	0	0	0	0	0	0	0.088517766206022	0	3.08900091281039	0	0	0	0	0	-0.0586082780292165	-0.371836670997501	0	0	-0.0932353849015138	1.73816696600935	0	0
DDX3X	-0.287568210749038	0	0	-0.116102444183906	0	0	0	-0.0123930846291637	-2.04696510467833	-0.968427517581235	-0.0880754110357303	0	0	0.1716812583102	0	-1.58285261902351	105.091225808257	0	0.0952567179718185	0.258638247817366	0	0.00210026809909413	0	0	0	-0.677885489314258	0.92479844329114	-1.18441022765651	0	1.18719295622576	0	0	0	0	0	0	0	0	0	0	0	-0.226778640177983	0	6.10476384939162	0	0	-0.21045325082058	0.0204955597785818	0	0	0	0	0	0	0	0	0	-1.75886815965412	1.84111383687429	-0.363578771909924	0	0	0	0	2.98175085797459	-0.460437635528598	-0.510142028834594	0	0	-1.45315543470856	0	0.536007016745084	-0.246528025573989	0.122214745310317	0	-0.0440989346880612	-4.98644288636647	0	-1.77153736142091	-0.350583104361196	-0.298788223864603	0	0	-1.00603101316557	0.44613671876461	-0.113051113175979	-0.0529086662871263	4.71044454430673	0	0	-0.760585340383479	0	-2.45565519220175	0	0.661268698735791	-1.63009526491157	-0.0100715963270965	0	0	0	0	0	0	0	0	0	-0.094635986796419	-0.0791991990623099	-0.290119133342043	0	-1.19131724082723	-2.16426326107327	-1.30142618863654	0	0	0	0	0	-0.261462485593751	0	0	0	-0.23996335499567	-1.59781476898683	-0.0589738165430178	0
DDX42	0	0	0	0	0	0	0	0.00831282189206058	0	0	0.285212718958853	0	0	0	0	0.0154067080617971	0	4.56902471622241	0	0	0	0	0	0	0	0	0	0.0291558521695698	0	0	0	0.303131560097056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232077438897294	0	0	0.0529086662871263	0	0	0	0.00526708110754058	0	0	0	0	0.836567299364706	0	0	0	0	0	0	0	0	0.0525119531456432	0	0	0	0	0	0.194999488679748	0	0	0	0	0	0	0	0.780055509760357	0	0	0	0	0	0	0
DDX52	1.01213956566212	0	0	0	0	0	0	0.00831282189206058	0	0	0.224310344527571	0	0	0	0	0.188517744247216	0.700405229138722	0	6.59427730112755	0.273131777745393	0	0.268507092933302	0	0	0.398291698261124	0.383574297677593	0.350912138309383	0.212695631730927	0	0.390881094791045	0	0	1.2535388331755	0	0	0	0	0	0	0.387271277510878	0	0	0	2.01700724476811	0	0	0.0220303328159507	0	0	0	0	0.0618978234785931	0	0	0	0	0	0	0.33498469356869	0.383436499241193	0	0	0.265140505523289	0.113250981578263	0.285260694393047	0.384635330445849	0.372948355135833	0	0.32012805444612	0.280756262194271	1.44953167268682	0.293645810222559	0	0	0	1.79015981562169	0	0	0	0.374576579988499	0	0	0	0.164983262003159	0	0.0223947092757266	0	0	0.430718927568282	0	0	0	0	0	0	1.19219914101784	0	0	0	0	0	0	0	0	0	0.711748926621952	0	0	0	0	0	0	0.0198053698535009	0	0.571218062681603	0.565227608022626	0	0.428342699098782	0.153594752042122	0	0	0	0.415819517074488	0	0	0.523532073258526
DDX55	-0.00628634964518014	0	0	0	0	0	1.11882127168365	-0.239442053169598	-0.133014207817963	-0.568657093397179	0	0	0	0	0	-0.365956061430385	0.54469809762632	0	0.139160394833497	39.9814787922333	0	1.03932445178231	0	0	-0.233411752554659	0	0	-0.387757771330364	0	1.36023637420127	0	0	0	0	0	0	0	0	0	0	0	0	0.0110066051999291	0.599158688986492	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0266029245454609	2.21500624736888	0	0	0.241530284507734	0	0	0.0552071297893649	0	0	0	0	0	0	2.83965723579893	0.246528025573989	0	0	0	-0.0541764846428408	-0.0518719754570268	-0.315440181844856	0	0	0	0	-0.0638493172474554	0	0	0	0.270700591934023	0	0	-0.250183116474727	0	-0.922386711222056	0	0	0	0	0	0	0	0	3.58314980480573	0	0	0	0	0	0	0	0	0	-0.0469482265851322	0	0	0	0	0	0	0	0	0	0.117116375670391	0	-0.0325332764855778	0	0
