AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
DDX6	0	0	0	0	0	0.260142734053251	0.0242678429749317	0	0	0	0	0	0	0	0	0	0	0	1.11592699701217	0	7.13696276418246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230462573443425	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637825831051877	0	0.0381905031382537	0	0	0.00810720166334087	0	0	0	0	0	0	0	1.12430975082929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274380870728068	0	0	0	0	0	0	0	0	0	0	0	0	0.609288258581499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250276179975243	0	0	0	0	0	0.675038648201197	0.0852067077340689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	-0.471211765491737	0	0	4.66387536282866	0	0	0	-2.38971113093056	-0.561339370931104	-2.03857104841167	-0.131210896770223	0	0	0	-0.201808294241223	0	0	0	0	0	0	0	66.286606156178	0	0	-1.70690223896376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.470105802823211	-0.0418578387899695	0	-1.28330480284383	0	0	0	0	0	0	0	0	0	-0.500076550119995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.79129344706982	-0.0183079498777148	-0.837514072914433	0	0	0	0	-0.0790700367432897	-0.45574153247658	0	0	0	0	0	-0.458331171044783	-0.83793550864993	0	0	-0.189964986450775	0	0	0	0	0.245368268954136	0	0	0	0	-1.2966217777539	-0.530837925153221	0	0	-0.000143268270645392	-1.39628205348374	-0.822599108067469	0	0	0	0	0	0	0	0	0	-0.922140409709671	-0.313748282460148	0
DKC1	2.75894061089775	1.39298235881202	0.225744178294697	0	0	0	0	0	0	0	0	0	0	0.420781829344147	0	0	0	0	0	0	0	0	0.371780062617193	9.42571783429055	0	0	0	0	0	0	0	0.235481973838558	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0.340682881432837	0	0	0	0.279839731019773	0	3.78703861185723	0	0	0	0	0	3.49914178141764	2.4006509137776	0	0	5.16752520912885	0	0	0	0	0	1.39298235881202	0	0	0	3.04880971488678	0	0	0.244690570288466	0	0	0	0	0	0.199601105622572	0	0	0	0.340682881432837	0	0.517102577634745	0	0	0	0	0.156250785335064	0.140987210420357	0	0	0	0	0	0.688442890661028	0	0	0.0849232410341043	0	0	1.10839095525145	0.0710672767185135	0	0	0	6.65298442960279e-05	0.0253097861578384	3.82184406005216	0	0	0
DROSHA	0.196523554200199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940400024269509	0	0	0	0	0	0	0	0	8.3057874741463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10228447573926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0819153854496757	0	0	0	0	0	0	0	0.0624044674433917	0.0333261376768252	0	0.761493397245251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840820532179255	0	0	0	0.0901112334589149	0	0	0	0	0	0	0	0	0	0.0112062849298065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFTUD2	-2.62813600773167	0	-0.0719150382182649	-0.261008556115916	0	0	0	-1.0747112160339	-2.13766433187121	0	0	0	0	0	0	-0.26501248406562	0	0	0	0	0	0	-0.433338020690025	-0.769729699920758	0	29.1792032831055	0	0	0	0	0	0	0	0	0	0	0	0	-0.780327987659011	0	-0.275147244440728	0	0	-2.09555675769897	0	0	0	0	0	0	-0.0832288191919414	0	0	-1.26044027424877	-1.05081034676653	-0.725906119539251	-0.15551491920258	0	-0.131265744797642	0	-0.0628938208587483	-0.844009196477798	-0.843435755923611	0	0	-1.67588882297686	0	-1.01721287669159	0	0	0	0	-0.420426338591093	0	0	-0.57445953866704	-0.00542628048190785	0	0	0	-0.293911643381574	0	0	-0.218719419933164	-0.527696563790979	0	0	0.246806002040479	0	0	0	0	-0.121633563483586	-0.273605041947415	0	0	-0.306453162954025	0	0	0	-0.0897445990338844	0	-0.957946462491003	0	0	-0.149178584840383	-1.57357742362145	0	-0.657607459251614	0	0	0	0	-0.093314213931746	0	-0.725945728388544	-1.23491179629765	-0.634893537513375	0
EIF3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100220739388571	0	0	0	0	0	0	0	0	0	0	0	6.33165964095773	0	0	0	0	0	0	0.261025197256172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940208739630213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0329005223704355	0	0	0	0	0	0	0	0	0	0	0	0
EIF3G	0	0	0	0	0.20153604318714	0	0	0	0	0	0	0	0	0	0	1.10114063645918	0	0.0779406494273725	1.15813074785603	0	0	0	0	0	0	0	0	5.77275169816893	0	0	0	0	0	0	0	0	0	0	0	0	1.31524730194385	0	0	0	0	0	0	0	0	0	0	0	0	0	0.720914904692605	0	0.0381905031382537	0	0	0	0	0	0	0	0	0	0	1.12430975082929	0	0.00231127663045149	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017718217808164	0	0	0	0	0	0	0	0	0	0	0	0	0.227391616150359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0330547267735446	0	0	0	0	0
EIF3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187174041572929	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60985054550994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600080110194856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182439400437559	0.00949999831091562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	0	0	0	0	0	0	0	0	0	0	0.131210896770223	0	0	0	0	0	0.458711061312082	0	0	0	0	0	0	0	0	0	0	0	0	2.21606341523583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230160794290209	0	0	0	0	0	0	0	0	0.068016051249384	0	0	0	0	0	0	0.0329005223704355	0	0	0	0	0	0.0965954165031796	0	0	0	0	0	0
